Num_c,SMILES,cid,iupac_name,molecular_weight,molecular_formula,complexity,rotatable_bond_count,heavy_atom_count,xlogp,Chloride_CAS,Bromide_CAS,Iodide_CAS,Fluoride_CAS
4,C[N+](C)(C)C,6380.0,tetramethylazanium,74.14,C4H12N+,19.0,0.0,5.0,0.3,"75-57-0, 200-880-8, 9050-97-9","64-20-0, 200-581-2","75-58-1, 200-881-3","373-68-2, 206-769-0, 99678-28-1"
5,CC[N+](C)(C)C,33993.0,ethyl(trimethyl)azanium,88.17,C5H14N+,33.0,1.0,6.0,0.6,,2650-77-3,51-93-4,
6,CCC[N+](C)(C)C,29385.0,trimethyl(propyl)azanium,102.2,C6H16N+,42.0,2.0,7.0,1.2,"2877-24-9, 608-246-6",,19014-03-0,
6,CC[N+](C)(C)CC,199517.0,diethyl(dimethyl)azanium,102.2,C6H16N+,42.0,2.0,7.0,1.0,"29508-45-0, 608-367-4",20109-38-0,4325-24-0,
7,CC(C)C[N+](C)(C)C,15919129.0,trimethyl(2-methylpropyl)azanium,116.22,C7H18N+,59.0,2.0,8.0,1.6,,79859-70-4,,
7,CCCC[N+](C)(C)C,24399.0,butyl(trimethyl)azanium,116.22,C7H18N+,51.0,3.0,8.0,1.5,14251-72-0,2650-51-3,7722-19-2,
7,CCC[N+](C)(C)CC,158452.0,ethyl-dimethyl-propylazanium,116.22,C7H18N+,57.0,3.0,8.0,1.5,,"283-728-3, 84697-18-7",,
7,CC[N+](C)(CC)CC,70440.0,triethyl(methyl)azanium,116.22,,,,,,"10052-47-8, 600-107-8","220-282-0, 2700-16-5",994-29-6,
8,CC(C)(C)C[N+](C)(C)C,417944.0,"2,2-dimethylpropyl(trimethyl)azanium",130.25,C8H20N+,81.0,2.0,9.0,2.0,,,26154-20-1,
8,CC(C)CC[N+](C)(C)C,417981.0,trimethyl(3-methylbutyl)azanium,130.25,C8H20N+,69.0,3.0,9.0,2.0,,74710-14-8,,
8,CCC(C)C[N+](C)(C)C,20603117.0,trimethyl(2-methylbutyl)azanium,130.25,C8H20N+,71.0,3.0,9.0,2.0,,,,
8,CCCCC[N+](C)(C)C,9022.0,trimethyl(pentyl)azanium,130.25,,,,,,26119-36-8,,19109-66-1,
8,CCCC[N+](C)(C)CC,14022617.0,butyl-ethyl-dimethylazanium,130.25,C8H20N+,67.0,4.0,9.0,1.9,,,,
8,CCC[N+](C)(C)CCC,9989306.0,dimethyl(dipropyl)azanium,130.25,C8H20N+,59.0,4.0,9.0,2.1,,"610-854-1, 52509-52-1",,
8,CCC[N+](C)(CC)CC,4167058.0,diethyl-methyl-propylazanium,130.25,C8H20N+,65.0,4.0,9.0,1.9,,"273-956-1, 69286-10-8",,
8,CC[N+](C)(C)CC(C)C,419881.0,ethyl-dimethyl-(2-methylpropyl)azanium,130.25,C8H20N+,74.0,3.0,9.0,2.0,,,,
8,CC[N+](CC)(CC)CC,5413.0,tetraethylazanium,130.25,C8H20N+,47.0,4.0,9.0,1.7,"56-34-8, 200-267-5","71-91-0, 200-769-4","68-05-3, 200-676-9","211-559-7, 665-46-3"
9,CC(C)CCC[N+](C)(C)C,58070799.0,trimethyl(4-methylpentyl)azanium,144.28,C9H22N+,79.0,4.0,10.0,2.3,,,,
9,CCC(C)(C)C[N+](C)(C)C,53869132.0,"2,2-dimethylbutyl(trimethyl)azanium",144.28,C9H22N+,97.0,3.0,10.0,2.4,,,,
9,CCC(C)CC[N+](C)(C)C,23522030.0,trimethyl(3-methylpentyl)azanium,144.28,C9H22N+,81.0,4.0,10.0,2.5,,,,
9,CCC(C)C[N+](C)(C)CC,59180634.0,ethyl-dimethyl-(2-methylbutyl)azanium,144.28,C9H22N+,86.0,4.0,10.0,2.3,,,,
9,CCCC(C)C[N+](C)(C)C,53884774.0,trimethyl(2-methylpentyl)azanium,144.28,C9H22N+,81.0,4.0,10.0,2.5,,,,
9,CCCCCC[N+](C)(C)C,84774.0,hexyl(trimethyl)azanium,144.28,C9H22N+,71.0,5.0,10.0,2.6,29801-86-3,2650-53-5,15066-77-0,
9,CCCCC[N+](C)(C)CC,23088838.0,ethyl-dimethyl-pentylazanium,144.28,C9H22N+,76.0,5.0,10.0,2.4,,,,
9,CCCC[N+](C)(C)CCC,23088837.0,butyl-dimethyl-propylazanium,144.28,C9H22N+,76.0,5.0,10.0,2.4,,,,
9,CCCC[N+](C)(CC)CC,23393389.0,butyl-diethyl-methylazanium,144.28,C9H22N+,74.0,5.0,10.0,2.3,,,,
9,CCC[N+](C)(C)CC(C)C,21344279.0,dimethyl-(2-methylpropyl)-propylazanium,144.28,C9H22N+,84.0,4.0,10.0,2.5,,92623-29-5,,
9,CCC[N+](C)(CC)CCC,20376278.0,ethyl-methyl-dipropylazanium,144.28,C9H22N+,72.0,5.0,10.0,2.4,,,,
9,CCC[N+](CC)(CC)CC,77853.0,triethyl(propyl)azanium,144.28,C9H22N+,66.0,5.0,10.0,2.3,88071-67-4,13028-68-7,4186-67-8,
9,CC[N+](C)(C)CC(C)(C)C,143150980.0,"2,2-dimethylpropyl-ethyl-dimethylazanium",144.28,C9H22N+,97.0,3.0,10.0,2.4,,,,
9,CC[N+](C)(C)CCC(C)C,123150227.0,ethyl-dimethyl-(3-methylbutyl)azanium,144.28,,,,,,,,,
9,CC[N+](C)(CC)CC(C)C,87916176.0,diethyl-methyl-(2-methylpropyl)azanium,144.28,C9H22N+,82.0,4.0,10.0,2.3,,,,
10,CC(C)C(C)(C)C[N+](C)(C)C,158484685.0,"trimethyl(2,2,3-trimethylbutyl)azanium",158.3,C10H24N+,117.0,3.0,11.0,2.8,,,,
10,CC(C)CCCC[N+](C)(C)C,59594240.0,trimethyl(5-methylhexyl)azanium,158.3,,,,,,,,,
10,CC(C)C[N+](C)(C)CC(C)C,12446313.0,dimethyl-bis(2-methylpropyl)azanium,158.3,C10H24N+,91.0,4.0,11.0,2.9,,,123755-68-0,
10,CCC(C)CCC[N+](C)(C)C,23561620.0,trimethyl(4-methylhexyl)azanium,158.3,,,,,,,,,
10,CCC(C)CC[N+](C)(C)CC,147254608.0,ethyl-dimethyl-(3-methylpentyl)azanium,158.3,C10H24N+,97.0,5.0,11.0,2.9,,,,
10,CCCC(C)(C)C[N+](C)(C)C,152646893.0,"2,2-dimethylpentyl(trimethyl)azanium",158.3,,,,,,,,,
10,CCCC(C)CC[N+](C)(C)C,19880246.0,trimethyl(3-methylhexyl)azanium,158.3,C10H24N+,91.0,5.0,11.0,3.1,,,,
10,CCCC(C)C[N+](C)(C)CC,169831593.0,ethyl-dimethyl-(2-methylpentyl)azanium,158.3,,,,,,,,,
10,CCCCC(C)C[N+](C)(C)C,13110426.0,trimethyl(2-methylhexyl)azanium,158.3,C10H24N+,91.0,5.0,11.0,3.1,,,,
10,CCCCCCC[N+](C)(C)C,30142.0,heptyl(trimethyl)azanium,158.3,C10H24N+,81.0,6.0,11.0,3.7,,,,
10,CCCCCC[N+](C)(C)CC,11593475.0,ethyl-hexyl-dimethylazanium,158.3,C10H24N+,86.0,6.0,11.0,3.0,,,,
10,CCCCC[N+](C)(C)CCC,23088871.0,dimethyl-pentyl-propylazanium,158.3,C10H24N+,86.0,6.0,11.0,3.0,,,,
10,CCCCC[N+](C)(CC)CC,23088876.0,diethyl-methyl-pentylazanium,158.3,C10H24N+,84.0,6.0,11.0,2.8,,,,
10,CCCC[N+](C)(C)CC(C)C,22044341.0,butyl-dimethyl-(2-methylpropyl)azanium,158.3,,,,,,,,,
10,CCCC[N+](C)(C)CCCC,18615673.0,dibutyl(dimethyl)azanium,158.3,C10H24N+,76.0,6.0,11.0,2.8,,115984-63-9,61134-94-9,
10,CCCC[N+](C)(CC)CCC,20268953.0,butyl-ethyl-methyl-propylazanium,158.3,C10H24N+,90.0,6.0,11.0,2.8,,,,
10,CCCC[N+](CC)(CC)CC,45719.0,butyl(triethyl)azanium,158.3,,,,,,24344-65-8,13028-69-8,4186-63-4,
10,CCC[N+](C)(C)CC(C)(C)C,90225462.0,"2,2-dimethylpropyl-dimethyl-propylazanium",158.3,C10H24N+,109.0,4.0,11.0,2.9,,,,
10,CCC[N+](C)(C)CC(C)CC,18715935.0,dimethyl-(2-methylbutyl)-propylazanium,158.3,C10H24N+,97.0,5.0,11.0,2.9,,,,
10,CCC[N+](C)(C)CCC(C)C,90967482.0,dimethyl-(3-methylbutyl)-propylazanium,158.3,C10H24N+,95.0,5.0,11.0,2.9,,,,
10,CCC[N+](C)(CC)CC(C)C,44719323.0,ethyl-methyl-(2-methylpropyl)-propylazanium,158.3,C10H24N+,99.0,5.0,11.0,2.9,,,,
10,CCC[N+](C)(CCC)CCC,77068.0,methyl(tripropyl)azanium,158.3,C10H24N+,71.0,6.0,11.0,3.0,75373-66-9,,3531-14-4,
10,CCC[N+](CC)(CC)CCC,13879586.0,diethyl(dipropyl)azanium,158.3,C10H24N+,76.0,6.0,11.0,2.8,,71095-63-1,,
10,CC[N+](C)(C)CCCC(C)C,15636631.0,ethyl-dimethyl-(4-methylpentyl)azanium,158.3,C10H24N+,95.0,5.0,11.0,2.7,,,,
