Index,Num_c,SMILES,cid
1,4,C[N+](C)(C)C,6380.0
2,5,CC[N+](C)(C)C,33993.0
3,6,CCC[N+](C)(C)C,29385.0
4,6,CC[N+](C)(C)CC,199517.0
5,7,CC(C)C[N+](C)(C)C,15919129.0
6,7,CCCC[N+](C)(C)C,24399.0
7,7,CCC[N+](C)(C)CC,158452.0
8,7,CC[N+](C)(CC)CC,70440.0
9,8,CC(C)(C)C[N+](C)(C)C,417944.0
10,8,CC(C)CC[N+](C)(C)C,417981.0
11,8,CCC(C)C[N+](C)(C)C,20603117.0
12,8,CCCCC[N+](C)(C)C,9022.0
13,8,CCCC[N+](C)(C)CC,14022617.0
14,8,CCC[N+](C)(C)CCC,9989306.0
15,8,CCC[N+](C)(CC)CC,4167058.0
16,8,CC[N+](C)(C)CC(C)C,419881.0
17,8,CC[N+](CC)(CC)CC,5413.0
18,9,CC(C)CCC[N+](C)(C)C,58070799.0
19,9,CCC(C)(C)C[N+](C)(C)C,53869132.0
20,9,CCC(C)CC[N+](C)(C)C,23522030.0
21,9,CCC(C)C[N+](C)(C)CC,59180634.0
22,9,CCCC(C)C[N+](C)(C)C,53884774.0
23,9,CCCCCC[N+](C)(C)C,84774.0
24,9,CCCCC[N+](C)(C)CC,23088838.0
25,9,CCCC[N+](C)(C)CCC,23088837.0
26,9,CCCC[N+](C)(CC)CC,23393389.0
27,9,CCC[N+](C)(C)CC(C)C,21344279.0
28,9,CCC[N+](C)(CC)CCC,20376278.0
29,9,CCC[N+](CC)(CC)CC,77853.0
30,9,CC[N+](C)(C)CC(C)(C)C,143150980.0
31,9,CC[N+](C)(C)CCC(C)C,123150227.0
32,9,CC[N+](C)(CC)CC(C)C,87916176.0
33,10,CC(C)C(C)(C)C[N+](C)(C)C,158484685.0
34,10,CC(C)CCCC[N+](C)(C)C,59594240.0
35,10,CC(C)C[N+](C)(C)CC(C)C,12446313.0
36,10,CCC(C)(C)C[N+](C)(C)CC,0.0
37,10,CCC(C)CCC[N+](C)(C)C,23561620.0
38,10,CCC(C)CC[N+](C)(C)CC,147254608.0
39,10,CCC(C)C[N+](C)(CC)CC,0.0
40,10,CCCC(C)(C)C[N+](C)(C)C,152646893.0
41,10,CCCC(C)CC[N+](C)(C)C,19880246.0
42,10,CCCC(C)C[N+](C)(C)CC,169831593.0
43,10,CCCCC(C)C[N+](C)(C)C,13110426.0
44,10,CCCCCCC[N+](C)(C)C,30142.0
45,10,CCCCCC[N+](C)(C)CC,11593475.0
46,10,CCCCC[N+](C)(C)CCC,23088871.0
47,10,CCCCC[N+](C)(CC)CC,23088876.0
48,10,CCCC[N+](C)(C)CC(C)C,22044341.0
49,10,CCCC[N+](C)(C)CCCC,18615673.0
50,10,CCCC[N+](C)(CC)CCC,20268953.0
51,10,CCCC[N+](CC)(CC)CC,45719.0
52,10,CCC[N+](C)(C)CC(C)(C)C,90225462.0
53,10,CCC[N+](C)(C)CC(C)CC,18715935.0
54,10,CCC[N+](C)(C)CCC(C)C,90967482.0
55,10,CCC[N+](C)(CC)CC(C)C,44719323.0
56,10,CCC[N+](C)(CCC)CCC,77068.0
57,10,CCC[N+](CC)(CC)CCC,13879586.0
58,10,CC[N+](C)(C)CCCC(C)C,15636631.0
59,10,CC[N+](C)(CC)CC(C)(C)C,0.0
60,10,CC[N+](C)(CC)CCC(C)C,59061293.0
61,10,CC[N+](CC)(CC)CC(C)C,13513450.0
62,11,CC(C)CCCCC[N+](C)(C)C,54390726.0
63,11,CC(C)CC[N+](C)(C)CC(C)C,168144637.0
64,11,CC(C)C[N+](C)(C)CC(C)(C)C,0.0
65,11,CCC(C)(C)C[N+](C)(CC)CC,0.0
66,11,CCC(C)C(C)(C)C[N+](C)(C)C,148436643.0
67,11,CCC(C)CCCC[N+](C)(C)C,0.0
68,11,CCC(C)CCC[N+](C)(C)CC,0.0
69,11,CCC(C)CC[N+](C)(CC)CC,155157986.0
70,11,CCC(C)C[N+](C)(C)CC(C)C,146880729.0
71,11,CCC(C)C[N+](CC)(CC)CC,13426949.0
72,11,CCCC(C)(C)C[N+](C)(C)CC,171625777.0
73,11,CCCC(C)CCC[N+](C)(C)C,123879569.0
74,11,CCCC(C)CC[N+](C)(C)CC,0.0
75,11,CCCC(C)C[N+](C)(C)CCC,0.0
76,11,CCCC(C)C[N+](C)(CC)CC,0.0
77,11,CCCCC(C)(C)C[N+](C)(C)C,149322603.0
78,11,CCCCC(C)CC[N+](C)(C)C,157074067.0
79,11,CCCCC(C)C[N+](C)(C)CC,0.0
80,11,CCCCCC(C)C[N+](C)(C)C,89351182.0
81,11,CCCCCCCC[N+](C)(C)C,24950.0
82,11,CCCCCCC[N+](C)(C)CC,23088859.0
83,11,CCCCCC[N+](C)(C)CCC,23088822.0
84,11,CCCCCC[N+](C)(CC)CC,11672744.0
85,11,CCCCC[N+](C)(C)CC(C)C,0.0
86,11,CCCCC[N+](C)(C)CCCC,53780101.0
87,11,CCCCC[N+](C)(CC)CCC,23088854.0
88,11,CCCCC[N+](CC)(CC)CC,152429.0
89,11,CCCC[N+](C)(C)CC(C)(C)C,123234305.0
90,11,CCCC[N+](C)(C)CC(C)CC,88981039.0
91,11,CCCC[N+](C)(C)CCC(C)C,123373067.0
92,11,CCCC[N+](C)(CC)CC(C)C,0.0
93,11,CCCC[N+](C)(CC)CCCC,22487000.0
94,11,CCCC[N+](C)(CCC)CCC,87509031.0
95,11,CCCC[N+](CC)(CC)CCC,5249160.0
96,11,CCC[N+](C)(C)CC(C)(C)CC,0.0
97,11,CCC[N+](C)(C)CCC(C)CC,88872659.0
98,11,CCC[N+](C)(C)CCCC(C)C,15636633.0
99,11,CCC[N+](C)(CC)CC(C)(C)C,0.0
100,11,CCC[N+](C)(CC)CC(C)CC,90726542.0
101,11,CCC[N+](C)(CC)CCC(C)C,177124344.0
102,11,CCC[N+](C)(CCC)CC(C)C,0.0
103,11,CCC[N+](CC)(CC)CC(C)C,0.0
